filename,label
/media/vorph/datas/cracks_defect/datas/raw_dataset/Positive/00017.jpg,Positive
/media/vorph/datas/cracks_defect/datas/raw_dataset/Negative/00730.jpg,Negative
/media/vorph/datas/cracks_defect/datas/raw_dataset/Positive/00009.jpg,Positive
/media/vorph/datas/cracks_defect/datas/raw_dataset/Negative/00441.jpg,Negative
/media/vorph/datas/cracks_defect/datas/raw_dataset/Negative/00100.jpg,Negative
/media/vorph/datas/cracks_defect/datas/raw_dataset/Positive/01292.jpg,Positive
/media/vorph/datas/cracks_defect/datas/raw_dataset/Negative/00153.jpg,Negative
/media/vorph/datas/cracks_defect/datas/raw_dataset/Negative/00388.jpg,Negative
/media/vorph/datas/cracks_defect/datas/raw_dataset/Negative/00811.jpg,Negative
/media/vorph/datas/cracks_defect/datas/raw_dataset/Positive/01304.jpg,Positive
/media/vorph/datas/cracks_defect/datas/raw_dataset/Positive/01356.jpg,Positive
/media/vorph/datas/cracks_defect/datas/raw_dataset/Positive/00973.jpg,Positive
/media/vorph/datas/cracks_defect/datas/raw_dataset/Negative/01463.jpg,Negative
/media/vorph/datas/cracks_defect/datas/raw_dataset/Negative/01040.jpg,Negative
/media/vorph/datas/cracks_defect/datas/raw_dataset/Positive/00165.jpg,Positive
/media/vorph/datas/cracks_defect/datas/raw_dataset/Positive/01008.jpg,Positive
/media/vorph/datas/cracks_defect/datas/raw_dataset/Positive/00344.jpg,Positive
/media/vorph/datas/cracks_defect/datas/raw_dataset/Negative/00301.jpg,Negative
/media/vorph/datas/cracks_defect/datas/raw_dataset/Negative/00422.jpg,Negative
/media/vorph/datas/cracks_defect/datas/raw_dataset/Negative/00283.jpg,Negative
/media/vorph/datas/cracks_defect/datas/raw_dataset/Negative/01298.jpg,Negative
/media/vorph/datas/cracks_defect/datas/raw_dataset/Negative/00643.jpg,Negative
/media/vorph/datas/cracks_defect/datas/raw_dataset/Positive/00550.jpg,Positive
/media/vorph/datas/cracks_defect/datas/raw_dataset/Positive/01407.jpg,Positive
/media/vorph/datas/cracks_defect/datas/raw_dataset/Positive/01128.jpg,Positive
/media/vorph/datas/cracks_defect/datas/raw_dataset/Negative/00651.jpg,Negative
/media/vorph/datas/cracks_defect/datas/raw_dataset/Positive/01163.jpg,Positive
/media/vorph/datas/cracks_defect/datas/raw_dataset/Negative/01024.jpg,Negative
/media/vorph/datas/cracks_defect/datas/raw_dataset/Positive/01168.jpg,Positive
/media/vorph/datas/cracks_defect/datas/raw_dataset/Positive/01276.jpg,Positive
/media/vorph/datas/cracks_defect/datas/raw_dataset/Negative/01095.jpg,Negative
/media/vorph/datas/cracks_defect/datas/raw_dataset/Negative/00748.jpg,Negative
/media/vorph/datas/cracks_defect/datas/raw_dataset/Negative/00722.jpg,Negative
/media/vorph/datas/cracks_defect/datas/raw_dataset/Positive/00778.jpg,Positive
/media/vorph/datas/cracks_defect/datas/raw_dataset/Positive/01251.jpg,Positive
/media/vorph/datas/cracks_defect/datas/raw_dataset/Positive/00900.jpg,Positive
/media/vorph/datas/cracks_defect/datas/raw_dataset/Positive/00726.jpg,Positive
/media/vorph/datas/cracks_defect/datas/raw_dataset/Positive/00760.jpg,Positive
/media/vorph/datas/cracks_defect/datas/raw_dataset/Negative/00556.jpg,Negative
/media/vorph/datas/cracks_defect/datas/raw_dataset/Negative/01436.jpg,Negative
/media/vorph/datas/cracks_defect/datas/raw_dataset/Negative/00697.jpg,Negative
/media/vorph/datas/cracks_defect/datas/raw_dataset/Positive/01268.jpg,Positive
/media/vorph/datas/cracks_defect/datas/raw_dataset/Negative/00335.jpg,Negative
/media/vorph/datas/cracks_defect/datas/raw_dataset/Negative/00196.jpg,Negative
/media/vorph/datas/cracks_defect/datas/raw_dataset/Positive/01223.jpg,Positive
/media/vorph/datas/cracks_defect/datas/raw_dataset/Positive/01409.jpg,Positive
/media/vorph/datas/cracks_defect/datas/raw_dataset/Positive/00280.jpg,Positive
/media/vorph/datas/cracks_defect/datas/raw_dataset/Positive/01038.jpg,Positive
/media/vorph/datas/cracks_defect/datas/raw_dataset/Negative/01004.jpg,Negative
/media/vorph/datas/cracks_defect/datas/raw_dataset/Negative/01017.jpg,Negative
/media/vorph/datas/cracks_defect/datas/raw_dataset/Negative/00232.jpg,Negative
/media/vorph/datas/cracks_defect/datas/raw_dataset/Negative/00412.jpg,Negative
/media/vorph/datas/cracks_defect/datas/raw_dataset/Positive/00303.jpg,Positive
/media/vorph/datas/cracks_defect/datas/raw_dataset/Positive/01210.jpg,Positive
/media/vorph/datas/cracks_defect/datas/raw_dataset/Negative/00524.jpg,Negative
/media/vorph/datas/cracks_defect/datas/raw_dataset/Negative/00112.jpg,Negative
/media/vorph/datas/cracks_defect/datas/raw_dataset/Negative/01018.jpg,Negative
/media/vorph/datas/cracks_defect/datas/raw_dataset/Positive/00369.jpg,Positive
/media/vorph/datas/cracks_defect/datas/raw_dataset/Positive/00376.jpg,Positive
/media/vorph/datas/cracks_defect/datas/raw_dataset/Positive/00591.jpg,Positive
/media/vorph/datas/cracks_defect/datas/raw_dataset/Positive/00603.jpg,Positive
/media/vorph/datas/cracks_defect/datas/raw_dataset/Positive/01054.jpg,Positive
/media/vorph/datas/cracks_defect/datas/raw_dataset/Negative/00374.jpg,Negative
/media/vorph/datas/cracks_defect/datas/raw_dataset/Negative/00640.jpg,Negative
/media/vorph/datas/cracks_defect/datas/raw_dataset/Positive/00474.jpg,Positive
/media/vorph/datas/cracks_defect/datas/raw_dataset/Positive/01494.jpg,Positive
/media/vorph/datas/cracks_defect/datas/raw_dataset/Negative/00005.jpg,Negative
/media/vorph/datas/cracks_defect/datas/raw_dataset/Positive/01005.jpg,Positive
/media/vorph/datas/cracks_defect/datas/raw_dataset/Positive/01202.jpg,Positive
/media/vorph/datas/cracks_defect/datas/raw_dataset/Negative/00738.jpg,Negative
